,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,nombre_colonia,municipio,nombre_municipio,sostenimiento,nivel,programa,hombres_1!,mujeres_1!,total_1!,hombres_2!,mujeres_2!,total_2!,hombres_3!,mujeres_3!,total_3!,hombres_4!,mujeres_4!,total_4!,hombres_5!,mujeres_5!,total_5!,hombres_6!,mujeres_6!,total_6!,hombres_total,mujeres_total,matricula_total,docentes,grupos,docenete_educacion_fisica,docente_actividades_artisticas,docente_actividades_tecnonologicas,docente_de_idiomas,personal_de_administrativo_y_servicios,director_con_grupo,director_sin_grupo,total_de_personal
4426,4426,4426,14KJN0577C,MATUTINO,NARANJOS,CONOCIDO,88,LOS_NARANJOS,0,94,TEQUILA,FEDERAL,PREESCOLAR,CONAFE,2,1,3,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,4,3,7,1,1,0,0,0,0,0,0,0,1
4427,4427,4427,14KJN0578B,MATUTINO,POTRERILLOS_DEL_TUITO,CONOCIDO,60,POTRERILLOS_DEL_TUITO,0,20,CABO_CORRIENTES,FEDERAL,PREESCOLAR,CONAFE,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0
4428,4428,4428,14KJN0579A,MATUTINO,AQUILES_SERDAN,CONOCIDO,79,AQUILES_SERDAN,0,20,CABO_CORRIENTES,FEDERAL,PREESCOLAR,CONAFE,2,4,6,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,4,5,9,1,1,0,0,0,0,0,0,0,1
4429,4429,4429,14KJN0582O,MATUTINO,RANCHO_VIEJO,CONOCIDO,24,RANCHO_VIEJO,0,26,CONCEPCION_DE_BUENOS_AIRES,FEDERAL,PREESCOLAR,CONAFE,2,1,3,2,3,5,1,0,1,0,0,0,0,0,0,0,0,0,5,4,9,1,1,0,0,0,0,0,0,0,1
4430,4430,4430,14KJN0586K,MATUTINO,SANTA_RITA,CONOCIDO,48,SANTA_RITA,0,115,VILLA_GUERRERO,FEDERAL,PREESCOLAR,CONAFE,1,0,1,0,1,1,1,2,3,0,0,0,0,0,0,0,0,0,2,3,5,1,1,0,0,0,0,0,0,0,1
4431,4431,4431,14KJN0587J,MATUTINO,SAN_JOSE_DE_ABAJO,CONOCIDO,81,SAN_JOSE_DE_ABAJO,0,29,CUQUIO,FEDERAL,PREESCOLAR,CONAFE,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,1,3,0,1,0,0,0,0,0,0,0,0
4432,4432,4432,14KJN0588I,MATUTINO,LOS_GONZALEZ,CONOCIDO,23,LOS_GONZALEZ,0,116,VILLA_HIDALGO,FEDERAL,PREESCOLAR,CONAFE,4,1,5,1,3,4,1,0,1,0,0,0,0,0,0,0,0,0,6,4,10,1,1,0,0,0,0,0,0,0,1
4433,4433,4433,14KJN0589H,MATUTINO,LOS_YAAEZ,CONOCIDO,85,LOS_YAAEZ,0,116,VILLA_HIDALGO,FEDERAL,PREESCOLAR,CONAFE,0,4,4,0,0,0,2,3,5,0,0,0,0,0,0,0,0,0,2,7,9,1,1,0,0,0,0,0,0,0,1
4434,4434,4434,14KJN0592V,MATUTINO,LA_SOLEDAD,CONOCIDO,227,LA_SOLEDAD,0,120,ZAPOPAN,FEDERAL,PREESCOLAR,CONAFE,0,0,0,1,1,2,1,1,2,0,0,0,0,0,0,0,0,0,2,2,4,0,1,0,0,0,0,0,0,0,0
4435,4435,4435,14KJN0596R,MATUTINO,SEAORITAS,CONOCIDO,182,SEAORITAS,0,124,ZAPOTLANEJO,FEDERAL,PREESCOLAR,CONAFE,1,0,1,1,4,5,0,4,4,0,0,0,0,0,0,0,0,0,2,8,10,1,1,0,0,0,0,0,0,0,1
4436,4436,4436,14KJN0598P,MATUTINO,CARRETON_EL,CONOCIDO,16,EL_CARRETON,0,31,CHIMALTITAN,FEDERAL,PREESCOLAR,CONAFE,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,4,0,1,0,0,0,0,0,0,0,0
4437,4437,4437,14KJN0600N,MATUTINO,SOLEDAD_LA,CONOCIDO,273,LA_SOLEDAD,0,35,ENCARNACION_DE_DIAZ,FEDERAL,PREESCOLAR,CONAFE,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4438,4438,4438,14KJN0601M,MATUTINO,CIENEGA_DE_MORA,CONOCIDO,40,CIENEGA_DE_MORA,0,35,ENCARNACION_DE_DIAZ,FEDERAL,PREESCOLAR,CONAFE,2,1,3,2,0,2,2,4,6,0,0,0,0,0,0,0,0,0,6,5,11,1,1,0,0,0,0,0,0,0,1
4439,4439,4439,14KJN0602L,MATUTINO,PALOMAR_EL,CONOCIDO,206,EL_PALOMAR,0,45,IXTLAHUACAN_DEL_RIO,FEDERAL,PREESCOLAR,CONAFE,5,1,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,7,1,1,0,0,0,0,0,0,0,1
4440,4440,4440,14KJN0603K,MATUTINO,SANTA_ANA_DE_GUADALUPE,CONOCIDO,71,SANTA_ANA_DE_GUADALUPE,0,46,JALOSTOTITLAN,FEDERAL,PREESCOLAR,CONAFE,3,2,5,5,4,9,3,3,6,0,0,0,0,0,0,0,0,0,11,9,20,2,2,0,0,0,0,0,0,0,2
4441,4441,4441,14KJN0604J,MATUTINO,LAS_CAAADAS,CONOCIDO,122,LAS_CAAADAS,0,46,JALOSTOTITLAN,FEDERAL,PREESCOLAR,CONAFE,1,0,1,2,1,3,2,1,3,0,0,0,0,0,0,0,0,0,5,2,7,1,1,0,0,0,0,0,0,0,1
4442,4442,4442,14KJN0607G,MATUTINO,TUETANO,CONOCIDO,496,EL_TUTANO,0,53,LAGOS_DE_MORENO,FEDERAL,PREESCOLAR,CONAFE,0,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,3,0,1,0,0,0,0,0,0,0,0
4443,4443,4443,14KJN0608F,MATUTINO,CONEJO_EL,CONOCIDO,715,EL_CONEJO,0,53,LAGOS_DE_MORENO,FEDERAL,PREESCOLAR,CONAFE,3,3,6,5,2,7,2,3,5,0,0,0,0,0,0,0,0,0,10,8,18,2,2,0,0,0,0,0,0,0,2
4444,4444,4444,14KJN0609E,MATUTINO,JARALITO_EL,CONOCIDO,626,EL_JARALITO,0,53,LAGOS_DE_MORENO,FEDERAL,PREESCOLAR,CONAFE,1,0,1,8,2,10,3,1,4,0,0,0,0,0,0,0,0,0,12,3,15,1,1,0,0,0,0,0,0,0,1
