,Unnamed: 0,Unnamed: 0.1,clave_ct,nom_turno,nombre_ct,domicilio,localidad_inegi,nombre_localidad,colonia,nombre_colonia,municipio_clave_inegi,nombre_municipio,sostenimiento,nivel,programa,deserciin_intracurricular,reprobaciin,reprobaciin__con_regularizados,eficiencia_terminal
10854,10854,10854,14KPR1592S,MATUTINO,LA_VARILLITA,CONOCIDO,207,LA_VARILLITA,0,0,86,TAPALPA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,100.0
10855,10855,10855,14KPR1602I,MATUTINO,LA_PAROTA,CONOCIDO,473,LA_PAROTA,0,0,49,JILOTLAN_DE_LOS_DOLORES,FEDERAL,PRIMARIA,CONAFE,6.67,0.0,,100.0
10856,10856,10856,14KPR1656M,MATUTINO,ZAPOTE_DE_ALVAREZ,CONOCIDO,327,EL_ZAPOTE_DE_ALVAREZ,0,0,8,ARANDAS,FEDERAL,PRIMARIA,CONAFE,44.44,0.0,,0.0
10857,10857,10857,14KPR1659J,MATUTINO,CAAADA_DE_FLORES,CONOCIDO,13,CAAADA_DE_LAS_FLORES,0,0,29,CUQUIO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10858,10858,10858,14KPR1660Z,MATUTINO,LA_MESA_DEL_CAPULIN,CONOCIDO,234,MESA_DEL_CAPULIN,0,0,31,CHIMALTITAN,FEDERAL,PRIMARIA,CONAFE,16.67,0.0,,0.0
10859,10859,10859,14KPR1662X,MATUTINO,RINCON_DE_CHAVEZ,CONOCIDO,164,EL_RINCON_DE_CHAVEZ,0,0,78,SAN_MIGUEL_EL_ALTO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10860,10860,10860,14KPR1663W,MATUTINO,EL_DURAZNO,CONOCIDO,115,EL_DURAZNO,0,0,93,TEPATITLAN_DE_MORELOS,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10861,10861,10861,14KPR1664V,MATUTINO,EL_LLANITO,CONOCIDO,182,EL_LLANITO,0,0,94,TEQUILA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10862,10862,10862,14KPR1665U,MATUTINO,LA_RESERVA,CONOCIDO,190,LA_RESERVA,0,0,120,ZAPOPAN,FEDERAL,PRIMARIA,CONAFE,22.22,0.0,,0.0
10863,10863,10863,14KPB0061W,MATUTINO,RANCHO_NUEVO,CONOCIDO,778,RANCHO_NUEVO,0,0,61,MEZQUITIC,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10864,10864,10864,14KPR1658K,MATUTINO,EL_ASTILLERO,CONOCIDO,6,LA_BODEGA,0,0,29,CUQUIO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10865,10865,10865,14KPR1691S,MATUTINO,"CRUZ_DE_IGNACIO,_LA",CONOCIDO,52,LA_CRUZ_DE_IGNACIO,0,0,58,MASCOTA,FEDERAL,PRIMARIA,CONAFE,33.33,25.0,,0.0
10866,10866,10866,14KPR1692R,MATUTINO,RANCHO_NACAR,CONOCIDO,173,RANCHO_NACAR,0,0,67,PUERTO_VALLARTA,FEDERAL,PRIMARIA,CONAFE,3.03,0.0,,0.0
10867,10867,10867,14KPR1693Q,MATUTINO,LOMAS_DEL_VALLE,CONOCIDO,238,LOMAS_DEL_VALLE,0,0,67,PUERTO_VALLARTA,FEDERAL,PRIMARIA,CONAFE,9.68,0.0,,0.0
10868,10868,10868,14KPR1697M,MATUTINO,LIMONCITO_DE_CASTREJON,CONOCIDO,461,LIMONCITO_DE_CASTREJON,0,0,49,JILOTLAN_DE_LOS_DOLORES,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10869,10869,10869,14KPR1698L,MATUTINO,LAGUNA_PRIETA,CONOCIDO,683,LAGUNA_PRIETA,0,0,93,TEPATITLAN_DE_MORELOS,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10870,10870,10870,14KPB0063U,MATUTINO,LA_BERENJENA,CONOCIDO,153,LA_BERENJENA,0,0,19,BOLAAOS,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10871,10871,10871,14KPR1726R,MATUTINO,SANTA_CRUZ_DE_ARRIBA,CONOCIDO,73,SANTA_CRUZ_DE_ARRIBA,0,0,71,SAN_CRISTOBAL_DE_LA_BARRANCA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10872,10872,10872,14KPR1728P,MATUTINO,EL_TEMASCAL,CONOCIDO,22,EL_TEMASCAL,0,0,106,TUXCACUESCO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10873,10873,10873,14KCA0008Y,MATUTINO,AMERICAN_CIRCUS,GUADALAJARA,1,GUADALAJARA,9002,ZONA_INDUSTRIAL,39,GUADALAJARA,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10874,10874,10874,14KCA0009X,MATUTINO,CIRCO_LOS_PITUTOS,TEOCALTICHE,1,TEOCALTICHE,9000,TEOCALTICHE,91,TEOCALTICHE,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10875,10875,10875,14KPR1729O,MATUTINO,CATAQUIO,CONOCIDO,78,CATAQUIO,0,0,56,SANTA_MARIA_DEL_ORO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10876,10876,10876,14KPR1731C,MATUTINO,MESA_DE_GONZALEZ,CONOCIDO,188,MESA_DE_GONZALEZ,0,0,56,SANTA_MARIA_DEL_ORO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10877,10877,10877,14KPR1732B,MATUTINO,EL_GRILLO,CONOCIDO,543,EL_GRILLO,0,0,8,ARANDAS,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10878,10878,10878,14KPR1734Z,MATUTINO,SAYULAPAN,CONOCIDO,189,SAYULAPAN,0,0,49,JILOTLAN_DE_LOS_DOLORES,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10879,10879,10879,14KPR1735Z,MATUTINO,LA_SOLEDAD,CONOCIDO,49,LA_SOLEDAD,0,0,56,SANTA_MARIA_DEL_ORO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10880,10880,10880,14KPR1736Y,MATUTINO,VALLE_ALTO,CONOCIDO,147,VALLE_ALTO,0,0,56,SANTA_MARIA_DEL_ORO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10881,10881,10881,14KPR1737X,MATUTINO,LA_TROJA,CONOCIDO,255,LA_TROJA,0,0,56,SANTA_MARIA_DEL_ORO,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
10882,10882,10882,14KPR1738W,MATUTINO,MESA_DEL_GUAYABO,CONOCIDO,92,MESA_DEL_GUAYABO,0,0,69,QUITUPAN,FEDERAL,PRIMARIA,CONAFE,0.0,0.0,,0.0
