,Unnamed: 0,Unnamed: 0.1,municipio,clave_ct,responsable,turno,nombre_ct,director,nivel,matricula,docente,grupos,aulas_existentes,aulas_uso,inversion_tiempo_completo_2014,inversion_tiempo_completo_2015,inversion_aulas_interactivas_2015,inversion_aulas_interactivas_2014,inversion_aulas_interactivas_2013,inversion_aulas_provisionales_2013,inversion_aulas_provisionales_2014,inversion_aulas_provisionales_2015,inversion_pec_2013,inversion_pec_2014,inversion_mobiliario,inversion_excelencia_2014,inversion_pes_2013,inversion_pes_2014,inversion_coniba_2013,inversion_escuela_digna_2013,inversion_fonden_2013,inversion_programa_sana_2013,inversion_coniba_2014,inversion_escuelas_de_tiempo_completo_2014,inversion_escuela_digna_2014,inversion_faeb_2014,inversion_fonden_2014,inversion_infraestructura_educativa_estatal_2014_(recurso_2013),inversion_programa_escuelas_de_excelencia_2014,inversion_programa_sana_2014,inversion_programa_coniba_2015,inversion_escuelas_de_tiempo_completo_2015_(recurso_2014),inversion_programa_escuela_digna_2015,inversion_faeb_2015,inversion_fonden_2015,inversion_infraestructura_educativa_estatal_2015_(recurso_2013),inversion_programa_escuelas_de_excelencia_2015_(recurso_2014),inversion_programa_sana_2015,otros_programas,beneficiarios_alimentos_dif_2014_digit,aulas_interactivas_observacion_aulas,aulas_interactivas_observacion_por_sustituir,aulas_interactivas_observacion_sust_2013,aulas_interactivas_observacion_sust_2014,aulas_interactivas_observacion_sust_2015,aulas_interactivas_observacion_otro_uso,aulas_provisionales_observacion_aulas,aulas_provisionales_observacion_por_sustituir,aulas_provisionales_observacion_sust_2013,aulas_provisionales_observacion_sust_2014,aulas_provisionales_observacion_sust_2015,aulas_provisionales_observacion_otro_uso,conectividad_mbs,observacion_pec2013_pec2013,observacion_pec2014_pec2014,observacion_mobiliario_piezas,observacion_mobiliario_alumnos,observacion_mobiliario_matricula,inmueble_cleaned,director_cleaned,responsable_cleaned,turno_cleaned,nombre_ct_cleaned,nivel_cleaned
1406,1406,1406,OJUELOS DE JALISCO,14DJN0930V,R,MATUTINO,GABINO BARREDA,ADRIANA ELIZABETH CONTRERAS CERVANTES,PREESCOLAR,62.0,3.0,3.0,3.0,3.0,,,,,,,,,,,44670.72,,81.2,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,89.0,60.0,60.0,1402001x,adriana_elizabeth_contreras_cervantes,r,matutino,gabino_barreda,preescolar
1407,1407,1407,OJUELOS DE JALISCO,14DPR0703Q,R,MATUTINO,FRAY BARTOLOME DE LAS CASAS,J.RICARDO OSTIGUIN RUIZ,PRIMARIA,170.0,6.0,6.0,6.0,6.0,,,,,,,,,,,208741.42,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,317.0,173.0,173.0,1402002b,j.ricardo_ostiguin_ruiz,r,matutino,fray_bartolome_de_las_casas,primaria
1408,1408,1408,OJUELOS DE JALISCO,14DJN0784A,R,MATUTINO,FRANCISCO I MADERO,ROCIO GUADALUPE FLORES PADILLA,PREESCOLAR,47.0,2.0,2.0,2.0,2.0,,,,,,,,,,,32448.48,,81.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.0,45.0,45.0,1402003f,rocio_guadalupe_flores_padilla,r,matutino,francisco_i_madero,preescolar
1409,1409,1409,OJUELOS DE JALISCO,14DJN1093W,R,MATUTINO,ROSARIO CASTELLANOS,ADRIANA ROCIO MUÃÂÃÂIZ CUELLAR,PREESCOLAR,11.0,1.0,2.0,1.0,1.0,,,,,,,,,,,10360.44,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,18.0,11.0,11.0,1402004j,adriana_rocio_muaaiz_cuellar,r,matutino,rosario_castellanos,preescolar
1410,1410,1410,OJUELOS DE JALISCO,14DJN1040R,R,MATUTINO,NARCISO MENDOZA,DIANA RAMIREZ GONZALEZ,PREESCOLAR,38.0,2.0,2.0,2.0,2.0,,,,,,,,,,,30847.68,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,62.0,42.0,42.0,1402005c,diana_ramirez_gonzalez,r,matutino,narciso_mendoza,preescolar
1411,1411,1411,OJUELOS DE JALISCO,14DJN0194N,R,MATUTINO,GABILONDO SOLER,ANA BERTHA RUVALCABA MEDINA,PREESCOLAR,71.0,3.0,3.0,3.0,3.0,,,,,,,,,,,44931.72,,81.2,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,1.0,1.0,0.0,0.0,0.0,0.0,,,,90.0,61.0,61.0,1402161k,ana_bertha_ruvalcaba_medina,r,matutino,gabilondo_soler,preescolar
1412,1412,1412,OJUELOS DE JALISCO,14DJN0458F,R,MATUTINO,PEDRO MORENO,PATRICIA ALEXANDRA YANEZ,PREESCOLAR,65.0,4.0,4.0,4.0,4.0,,,,,,,,,,,58232.76,,81.2,,,,,,,,,,,,,,,,,,,,,,,65.0,,,,,,,,,,,,,,,,115.0,77.0,77.0,1402163h,patricia_alexandra_yanez,r,matutino,pedro_moreno,preescolar
1413,1413,1413,OJUELOS DE JALISCO,14DJN1090Z,R,MATUTINO,MARIANO AZUELA,NAYELI KARINA LOPEZ AMARO,PREESCOLAR,16.0,2.0,2.0,2.0,2.0,,,,,,,,,,,17780.28,,,,,,,,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,,,,,,,29.0,17.0,17.0,1402171b,nayeli_karina_lopez_amaro,r,matutino,mariano_azuela,preescolar
1414,1414,1414,OJUELOS DE JALISCO,14DJN1710Q,R,MATUTINO,FEDERICO FROEBEL,MA. LILIANA CALDERON AGUILAR,PREESCOLAR,12.0,1.0,2.0,1.0,1.0,,,,,,,,,,,10621.44,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,,,,,19.0,12.0,12.0,1402184e,ma._liliana_calderon_aguilar,r,matutino,federico_froebel,preescolar
1415,1415,1415,OJUELOS DE JALISCO,14DJN5314R,R,MATUTINO,GABRIELA MISTRAL,AMALIA ALTAMIRA CARREON,PREESCOLAR,9.0,1.0,2.0,2.0,1.0,,,,,,,,,,,8759.64,,,,,,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,,,,,,14.0,8.0,8.0,1402214c,amalia_altamira_carreon,r,matutino,gabriela_mistral,preescolar
1416,1416,1416,OJUELOS DE JALISCO,14DJN5458N,R,MATUTINO,JOSE ROLON,ROSA ELENA SALAZAR SANCHEZ,PREESCOLAR,18.0,1.0,3.0,2.0,1.0,,,,,,,,,,,13562.04,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,,,,,,,,,,,,,26.0,17.0,17.0,1402226b,rosa_elena_salazar_sanchez,r,matutino,jose_rolon,preescolar
1417,1417,1417,OJUELOS DE JALISCO,14DPR0692A,R,MATUTINO,EMILIANO ZAPATA,RAUL ARMANDO MACIAS MACIAS,PRIMARIA,17.0,1.0,6.0,2.0,2.0,,,,,,,,,,,19312.28,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,29.0,16.0,16.0,1402286c,raul_armando_macias_macias,r,matutino,emiliano_zapata,primaria
1418,1418,1418,OJUELOS DE JALISCO,14DPR0693Z,R,MATUTINO,MIGUEL HIDALGO Y COSTILLA,SONIA LOPEZ MARTIN,PRIMARIA,78.0,3.0,6.0,3.0,3.0,90000.0,179695.58,,,,,,,,,89477.72,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,1.0,0.0,0.0,0.0,0.0,1.0,,,,137.0,76.0,76.0,1402287g,sonia_lopez_martin,r,matutino,miguel_hidalgo_y_costilla,primaria
1419,1419,1419,OJUELOS DE JALISCO,14DPR0694Z,R,MATUTINO,REVOLUCION,EDGAR ROMO MANDUJANO,PRIMARIA,87.0,3.0,6.0,5.0,3.0,90000.0,179993.93,,,,,,,,,101659.91,89301.85,,,,,,,,,,,,,,,,,,,,,494802.35,,,25.0,,,,,,,,,,,,,,,,151.0,80.0,80.0,1402288k,edgar_romo_mandujano,r,matutino,revolucion,primaria
1420,1420,1420,OJUELOS DE JALISCO,14DPR0696X,R,MATUTINO,VALENTIN GOMEZ FARIAS,NANCY PAULINA BOCANEGRA GARCIA,PRIMARIA,40.0,2.0,6.0,3.0,2.0,,,,,,,,,,,48894.95,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,,,,,,,,,,,71.0,37.0,37.0,1402289d,nancy_paulina_bocanegra_garcia,r,matutino,valentin_gomez_farias,primaria
1421,1421,1421,OJUELOS DE JALISCO,14DPR0025I,L,VESPERTINO,INDEPENDENCIA,JOSE EFRAIN HUIZAR VEGA,PRIMARIA,471.0,15.0,15.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,1402290c,jose_efrain_huizar_vega,l,vespertino,independencia,primaria
1422,1422,1422,OJUELOS DE JALISCO,14DPR0697W,R,MATUTINO,NIÃÂÃÂOS HEROES,HECTOR ROBLES LOPEZ,PRIMARIA,372.0,13.0,13.0,14.0,13.0,,,,,,,,,,,424143.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,642.0,349.0,808.0,1402290c,hector_robles_lopez,r,matutino,niaaos_heroes,primaria
1423,1423,1423,OJUELOS DE JALISCO,14DPR0699U,R,MATUTINO,VICENTE GUERRERO,NANCY CAMPOS GARCIA,PRIMARIA,81.0,3.0,6.0,4.0,3.0,90000.0,180000.0,,,,,,,,,94255.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0,81.0,81.0,1402291g,nancy_campos_garcia,r,matutino,vicente_guerrero,primaria
